RecordId,Probability_yes,PredictedLabel
0,0.008101152007801059,0
1,0.03170962637717582,0
2,0.18944306020433932,1
3,0.237196430187746,1
4,0.03657115871714401,0
5,0.05885188716689817,0
6,0.0376229578656995,0
7,0.370601248326569,1
8,0.02213657051851801,0
9,0.16097268463440736,0
10,0.2406205721552185,1
11,0.044013053129710454,0
12,0.043778725107971275,0
13,0.25358376640747793,1
14,0.09902166226801233,0
15,0.8800566832632234,1
16,0.021841231932260972,0
17,0.15694604648909502,0
18,0.006760318960314161,0
19,0.17884640198797586,1
20,0.036756394382380576,0
21,0.9124214680313001,1
22,0.024029699927310924,0
23,0.0064918553434726465,0
24,0.08463953607396495,0
25,0.004729480412818066,0
26,0.34583967177676445,1
27,0.04952919883414143,0
28,0.0076094163436736745,0
29,0.005634232512669018,0
30,0.08776327778775724,0
31,0.015571037776671957,0
32,0.008204551480202184,0
33,0.04988333270603763,0
34,0.27586097522442377,1
35,0.0372236142756342,0
36,0.004074887055525459,0
37,0.2570054798897921,1
38,0.0061108914281231465,0
39,0.018869745280090045,0
40,0.03864999377338102,0
41,0.09383924306637242,0
42,0.48155931263153623,1
43,0.022698440505493113,0
44,0.09246973739967072,0
45,0.00652581974508344,0
46,0.007075427527950802,0
47,0.010016113408766724,0
48,0.8793730630592166,1
49,0.07403916840742882,0
50,0.25551606580614916,1
51,0.05468449542557071,0
52,0.02340849785023335,0
53,0.9146918921002293,1
54,0.01172223474235396,0
55,0.03798581864225431,0
56,0.035575123171369724,0
57,0.023736118961005147,0
58,0.2977613928079955,1
59,0.07807843749236096,0
60,0.17300202733370176,1
61,0.010996964091042432,0
62,0.06685458129286326,0
63,0.007096488072297079,0
64,0.03753549365815093,0
65,0.038157941631618904,0
66,0.016896506365270385,0
67,0.5936381832814904,1
68,0.026739267833581003,0
69,0.1512155590867897,0
70,0.10550139874305048,0
71,0.0035752129868383714,0
72,0.13625859846972377,0
73,0.10227588662651031,0
74,0.011830858516284726,0
75,0.02219885934954381,0
76,0.041752333522903064,0
77,0.05546985748162711,0
78,0.11300118816973655,0
79,0.048694656376631985,0
80,0.017121682775437158,0
81,0.020132605380598204,0
82,0.12335886953827299,0
83,0.025804996108449784,0
84,0.7170190438547765,1
85,0.05753386907516677,0
86,0.24515397248015142,1
87,0.034591714102670965,0
88,0.9297940860153636,1
89,0.012764420202488434,0
90,0.11357092708971349,0
91,0.0584033343559691,0
